Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
WZ,016,2024-03-12 12:45:00,2024-03-12 13:34:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
LX,255,2024-03-12 13:05:00,2024-03-12 13:39:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
AM,7874,2024-03-12 13:50:00,2024-03-12 13:41:00,A,LAX,LOS ANGELES,UNITED STATES,3,LANDED
B6,6462,2024-03-12 13:50:00,2024-03-12 13:41:00,A,LAX,LOS ANGELES,UNITED STATES,3,LANDED
DL,7429,2024-03-12 13:50:00,2024-03-12 13:41:00,A,LAX,LOS ANGELES,UNITED STATES,3,LANDED
LY,006,2024-03-12 13:50:00,2024-03-12 13:41:00,A,LAX,LOS ANGELES,UNITED STATES,3,LANDED
IZ,815,2024-03-12 13:10:00,2024-03-12 13:42:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
LY,552,2024-03-12 13:45:00,2024-03-12 13:46:00,A,SOF,SOFIA,BULGARIA,3,LANDED
LY,542,2024-03-12 13:50:00,2024-03-12 13:48:00,A,ATH,ATHENS,GREECE,3,LANDED
CY,110,2024-03-12 14:00:00,2024-03-12 13:50:00,A,LCA,LARNACA,CYPRUS,3,LANDED
EK,2364,2024-03-12 13:10:00,2024-03-12 13:51:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1212,2024-03-12 13:10:00,2024-03-12 13:51:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
LY,375,2024-03-12 13:40:00,2024-03-12 13:56:00,D,LIS,LISBON,PORTUGAL,3,DEPARTED
TP,8920,2024-03-12 13:40:00,2024-03-12 13:56:00,D,LIS,LISBON,PORTUGAL,3,DEPARTED
6H,886,2024-03-12 13:55:00,2024-03-12 14:02:00,A,BUS,BATUMI,GEORGIA,3,LANDED
B6,6482,2024-03-12 14:20:00,2024-03-12 14:11:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
DL,7442,2024-03-12 14:20:00,2024-03-12 14:11:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
LY,026,2024-03-12 14:20:00,2024-03-12 14:11:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
AZ,806,2024-03-12 14:20:00,2024-03-12 14:17:00,A,FCO,ROME,ITALY,3,LANDED
JU,7378,2024-03-12 14:20:00,2024-03-12 14:17:00,A,FCO,ROME,ITALY,3,LANDED
6H,048,2024-03-12 14:25:00,2024-03-12 14:19:00,A,ETM,RAMON,ISRAEL,3,LANDED
AF,962,2024-03-12 14:20:00,2024-03-12 14:20:00,A,CDG,PARIS,FRANCE,3,LANDED
DL,8457,2024-03-12 14:20:00,2024-03-12 14:20:00,A,CDG,PARIS,FRANCE,3,LANDED
LY,5120,2024-03-12 14:15:00,2024-03-12 14:24:00,A,KRK,KRAKOW,POLAND,3,LANDED
AR,7876,2024-03-12 14:30:00,2024-03-12 14:31:00,A,FCO,ROME,ITALY,3,LANDED
LY,386,2024-03-12 14:30:00,2024-03-12 14:31:00,A,FCO,ROME,ITALY,3,LANDED
