CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
6H,561,ISRAIR AIRLINES,2024-03-11T18:50:00,2024-03-11T18:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,56-59,C,ON TIME,בזמן
IZ,512,ARKIA  ISRAELI  AIRLINES,2024-03-11T19:00:00,2024-03-11T19:00:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
6H,046,ISRAIR AIRLINES,2024-03-11T19:30:00,2024-03-11T19:30:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
LY,091,EL AL ISRAEL AIRLINES,2024-03-11T19:40:00,2024-03-11T19:40:00,D,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3,78-99,D,ON TIME,בזמן
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-03-11T19:55:00,2024-03-11T19:55:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
AA,9259,AMERICAN AIRLINES,2024-03-11T20:00:00,2024-03-11T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
AM,7862,AERO MEXICO,2024-03-11T20:00:00,2024-03-11T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,324,EL AL ISRAEL AIRLINES,2024-03-11T20:00:00,2024-03-11T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,5133,EL AL ISRAEL AIRLINES,2024-03-11T20:00:00,2024-03-11T20:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,ON TIME,בזמן
SK,3160,SAS,2024-03-11T20:00:00,2024-03-11T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,081,EL AL ISRAEL AIRLINES,2024-03-11T20:05:00,2024-03-11T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
QF,5020,QANTAS AIRWAYS,2024-03-11T20:05:00,2024-03-11T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
TG,4584,THAI AIRWAYS,2024-03-11T20:05:00,2024-03-11T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
VN,3298,VIETNAM AIRLINES,2024-03-11T20:05:00,2024-03-11T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
WZ,4311,RED WINGS AIRLINES,2024-03-11T20:15:00,2024-03-11T20:15:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
LY,087,EL AL ISRAEL AIRLINES,2024-03-11T20:35:00,2024-03-11T20:35:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
LY,5108,EL AL ISRAEL AIRLINES,2024-03-11T20:50:00,2024-03-11T20:50:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
LY,612,EL AL ISRAEL AIRLINES,2024-03-11T20:55:00,2024-03-11T20:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
S7,4483,SIBERIA AIRLINES,2024-03-11T20:55:00,2024-03-11T20:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
AA,9260,AMERICAN AIRLINES,2024-03-11T21:05:00,2024-03-11T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
LY,316,EL AL ISRAEL AIRLINES,2024-03-11T21:05:00,2024-03-11T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
W9,4451,WIZZ UK,2024-03-11T21:05:00,2024-03-11T21:05:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
LY,974,EL AL ISRAEL AIRLINES,2024-03-11T21:25:00,2024-03-11T21:25:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
6H,583,ISRAIR AIRLINES,2024-03-11T21:35:00,2024-03-11T21:35:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,56-59,C,ON TIME,בזמן
W9,4452,WIZZ UK,2024-03-11T22:00:00,2024-03-11T22:00:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,60-63,C,ON TIME,בזמן
LY,544,EL AL ISRAEL AIRLINES,2024-03-11T22:25:00,2024-03-11T22:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
