CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHRMINE,CHRMINH
LY,392,EL AL ISRAEL AIRLINES,2024-03-18T04:05:00,2024-03-18T04:05:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,NOT FINAL,לא סופי
AM,7878,AERO MEXICO,2024-03-18T04:20:00,2024-03-18T04:20:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,NOT FINAL,לא סופי
AR,7870,AEROLINEAS ARGENTINAS S.A.,2024-03-18T04:20:00,2024-03-18T04:20:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,NOT FINAL,לא סופי
IB,2397,IBERIA,2024-03-18T04:20:00,2024-03-18T04:20:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,NOT FINAL,לא סופי
LY,398,EL AL ISRAEL AIRLINES,2024-03-18T04:20:00,2024-03-18T04:20:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,NOT FINAL,לא סופי
IZ,282,ARKIA  ISRAELI  AIRLINES,2024-03-18T04:35:00,2024-03-18T04:35:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,NOT FINAL,לא סופי
QS,1286,SMARTWINGS,2024-03-18T04:35:00,2024-03-18T04:35:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,NOT FINAL,לא סופי
AA,9267,AMERICAN AIRLINES,2024-03-18T05:05:00,2024-03-18T05:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,NOT FINAL,לא סופי
AM,7876,AERO MEXICO,2024-03-18T05:05:00,2024-03-18T05:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,NOT FINAL,לא סופי
BZ,251,BLUE BIRD AIRWAYS,2024-03-18T05:05:00,2024-03-18T05:05:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,NOT FINAL,לא סופי
LY,318,EL AL ISRAEL AIRLINES,2024-03-18T05:05:00,2024-03-18T05:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,NOT FINAL,לא סופי
